"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","phylum","subphylum","below_subphylum","below_below_subphylum","below_below_below_subphylum","below_below_below_below_subphylum","superclass","class","subclass","infraclass","below_infraclass","below_below_infraclass","below_below_below_infraclass","below_below_below_below_infraclass","below_below_below_below_below_infraclass","below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_below_infraclass","below_below_below_below_below_below_below_below_below_below_infraclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species"
"282425","186634","below_below_below_below_infraclass","Clupei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","","","","","","","","",""
"123365","1489388","below_below_below_below_infraclass","Neoteleostei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","","","","","","","","","","","","","","","",""
"32519","186634","below_below_below_below_infraclass","Ostariophysi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","","","","","","","","","","","","","","","",""
"41705","1489388","below_below_below_below_infraclass","Protacanthopterygii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","","","","","","","","",""
"1489798","1489388","below_below_below_below_infraclass","Stomiatii","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","1489798","","","","","","","","","","","","","","","",""
"123366","123365","below_below_below_below_below_infraclass","Eurypterygia","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","","","","","","","","","","","","","","",""
"186626","32519","below_below_below_below_below_infraclass","Otophysi","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","","","","","","","","","",""
"123367","123366","below_below_below_below_below_below_infraclass","Ctenosquamata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","","","","","","","","","","","","","",""
"123368","123367","below_below_below_below_below_below_below_infraclass","Acanthomorphata","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","","","","","","","","","","","","",""
"123369","123368","below_below_below_below_below_below_below_below_infraclass","Euacanthomorphacea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","","","","","","","","","","","",""
"1489838","123368","below_below_below_below_below_below_below_below_infraclass","Paracanthomorphacea","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","","","","","","","","","","","",""
"1489872","123369","below_below_below_below_below_below_below_below_below_infraclass","Percomorphaceae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","","","","","","","","","","",""
"1489841","1489838","below_below_below_below_below_below_below_below_below_infraclass","Zeiogadaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","","","","","","","","","","",""
"1489904","1489872","below_below_below_below_below_below_below_below_below_below_infraclass","Carangaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489904","","","","","","","","","",""
"1489922","1489872","below_below_below_below_below_below_below_below_below_below_infraclass","Eupercaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","","","","","","","","",""
"1489843","1489841","below_below_below_below_below_below_below_below_below_below_infraclass","Gadariae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","1489843","","","","","","","","","",""
"1489875","1489872","below_below_below_below_below_below_below_below_below_below_infraclass","Gobiaria","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","","","","","","","","",""
"186628","186626","superorder","Characiphysae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","","","","","","","","",""
"186627","186626","superorder","Cypriniphysae","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","","","","","","","","",""
"7899","32440","order","Acipenseriformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","","","","","","","",""
"7933","32521","order","Anguilliformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489340","186624","32521","","","","","","","","","7933","","","","","","","",""
"1489940","1489922","order","Centrarchiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","1489940","","","","","","","",""
"32446","282425","order","Clupeiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","32446","","","","","","","",""
"7952","186627","order","Cypriniformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186627","7952","","","","","","","",""
"8007","41705","order","Esociformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8007","","","","","","","",""
"8043","1489843","order","Gadiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","1489843","","8043","","","","","","","",""
"1489878","1489875","order","Gobiiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","","","","","","","",""
"41711","1489798","order","Osmeriformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","1489798","","","","","","","","41711","","","","","","","",""
"8111","1489922","order","Perciformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","","","","","","","",""
"7745","117569","order","Petromyzontiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","1476529","117569","","","","","","","","","","","","","","","","","7745","","","","","","","",""
"8252","1489904","order","Pleuronectiformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489904","","8252","","","","","","","",""
"8006","41705","order","Salmoniformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","41705","","","","","","","","8006","","","","","","","",""
"7995","186628","order","Siluriformes","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","7995","","","","","","","",""
"186622","7899","suborder","Acipenseroidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","32440","","","","","","","","","","","","","7899","186622","","","","","","",""
"1489460","32446","suborder","Clupeoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","282425","","","","","","","","32446","1489460","","","","","","",""
"8100","8111","suborder","Cottioidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","","","","","","",""
"1489845","8043","suborder","Gadoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","1489838","1489841","1489843","","8043","1489845","","","","","","",""
"8219","1489878","suborder","Gobioidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489875","","1489878","8219","","","","","","",""
"8112","8111","suborder","Percoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8112","","","","","","",""
"30942","8252","suborder","Pleuronectoidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489904","","8252","30942","","","","","","",""
"1489793","7995","suborder","Siluroidei","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","186634","32519","186626","","","","","","186628","7995","1489793","","","","","","",""
"1490021","8100","infraorder","Cottales","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","1490021","","","","","",""
"1490020","8100","infraorder","Gasterosteales","1","131567","2759","33154","33208","6072","33213","33511","7711","89593","7742","7776","117570","117571","7898","186623","41665","32443","1489341","186625","1489388","123365","123366","123367","123368","123369","1489872","1489922","","8111","8100","1490020","","","","","",""
